ASX listed companies as at Thu May 17 19:45:06 AEST 2018

Company name,ASX code,GICS industry group
"ALLOY RESOURCES LIMITED","AYR","Materials"
"ALS LIMITED","ALQ","Commercial & Professional Services"
"ALT RESOURCES LIMITED","ARS","Materials"
"ALTA ZINC LIMITED","AZI","Materials"
"ALTECH CHEMICALS LTD","ATC","Materials"
"ALTERNATIVE INVESTMENT TRUST","AIQ","Not Applic"
"ALTERRA LIMITED","1AG","Commercial & Professional Services"
"ALTIUM LIMITED","ALU","Software & Services"
"ALTO METALS LIMITED","AME","Materials"
"ALTURA MINING LIMITED","AJM","Materials"
"ALUMINA LIMITED","AWC","Materials"
"AMA GROUP LIMITED","AMA","Retailing"
"AMANI GOLD LIMITED","ANL","Materials"
"AMAYSIM AUSTRALIA LIMITED","AYS","Telecommunication Services"
"AMBERTECH LIMITED","AMO","Technology Hardware & Equipment"
"AMBITION GROUP LIMITED","AMB","Commercial & Professional Services"
"AMCIL LIMITED","AMH","Diversified Financials"
"AMCOR LIMITED","AMC","Materials"
"AMERICAN PACIFIC BORATE & LITHIUM LIMITED","ABR","Materials"
"AMERICAN PATRIOT OIL & GAS LIMITED","AOW","Energy"
"AMP LIMITED","AMP","Insurance"
"ANAECO LIMITED","ANQ","Commercial & Professional Services"
"ANALYTICA LIMITED","ALT","Health Care Equipment & Services"
"ANATARA LIFESCIENCES LTD","ANR","Pharmaceuticals, Biotechnology & Life Sciences"
"ANCHOR RESOURCES LIMITED","AHR","Materials"
"ANDROMEDA METALS LIMITED","ADN","Materials"
"ANEKA TAMBANG (PERSERO) TBK (PT)","ATM","Materials"
"ANGEL SEAFOOD HOLDINGS LTD","AS1","Food, Beverage & Tobacco"
"ANGLO AMERICAN CAPITAL PLC","AQM","Not Applic"
"ANGLO AUSTRALIAN RESOURCES NL","AAR","Materials"
"ANGLOGOLD ASHANTI LIMITED","AGG","Materials"
"ANIMOCA BRANDS CORPORATION LIMITED","AB1","Software & Services"
"ANOVA METALS LIMITED","AWV","Materials"
"ANSELL LIMITED","ANN","Health Care Equipment & Services"
"ANSON RESOURCES LIMITED","ASN","Materials"
"ANTARES ENERGY LIMITED","AZZ","Energy"
"ANTE REAL ESTATE TRUST","ATT","Real Estate"
"ANTEO DIAGNOSTICS LIMITED","ADO","Pharmaceuticals, Biotechnology & Life Sciences"
"ANTILLES OIL AND GAS NL","AVD","Energy"
"ANTIPA MINERALS LIMITED","AZY","Materials"
"ANTIPODES GLOBAL INVESTMENT COMPANY LTD","APL","Not Applic"
"ANTISENSE THERAPEUTICS LIMITED","ANP","Pharmaceuticals, Biotechnology & Life Sciences"
"AP EAGERS LIMITED","APE","Retailing"
"APA GROUP","APA","Utilities"
"APAC COAL LIMITED","AAL","Energy"
"APIAM ANIMAL HEALTH LIMITED","AHX","Health Care Equipment & Services"
"APN OUTDOOR GROUP LIMITED","APO","Media"
"APN PROPERTY GROUP LIMITED","APD","Diversified Financials"
"APOLLO CONSOLIDATED LIMITED","AOP","Materials"
"APOLLO MINERALS LIMITED","AON","Materials"
"APOLLO SERIES 2010-1 TRUST","AOJ","Not Applic"
"APOLLO SERIES 2013-1 TRUST","AOR","Not Applic"
"APOLLO SERIES 2015-1 TRUST","AOL","Not Applic"
"APOLLO SERIES 2017-2 TRUST","AO2","Not Applic"
"APOLLO TOURISM & LEISURE LTD","ATL","Automobiles & Components"
"APPEN LIMITED","APX","Software & Services"
"APPETISE (HOLDINGS) LIMITED","ATZ","Class Pend"
"APPLYDIRECT LIMITED","AD1","Software & Services"
"APT PIPELINES LIMITED.","AQH","Not Applic"
"AQUIS ENTERTAINMENT LIMITED","AQS","Consumer Services"
"ARAFURA RESOURCES LIMITED","ARU","Materials"
"ARB CORPORATION LIMITED.","ARB","Automobiles & Components"
"ARC EXPLORATION LIMITED","ARX","Materials"
"ARCHER EXPLORATION LIMITED","AXE","Materials"
"ARDEA RESOURCES LIMITED","ARL","Materials"
"ARDENT LEISURE GROUP","AAD","Consumer Services"
"ARDIDEN LTD","ADV","Materials"
"ARENA REIT.","ARF","Real Estate"
"ARGENT MINERALS LIMITED","ARD","Materials"
"ARGO EXPLORATION LIMITED","AXT","Materials"
"ARGO GLOBAL LISTED INFRASTRUCTURE LIMITED","ALI","Diversified Financials"
"ARGO INVESTMENTS LIMITED","ARG","Not Applic"
"ARGONAUT RESOURCES NL","ARE","Materials"
"ARGOSY MINERALS LIMITED","AGY","Materials"
"ARIADNE AUSTRALIA LIMITED","ARA","Commercial & Professional Services"
"ARISTOCRAT LEISURE LIMITED","ALL","Consumer Services"
"ARK MINES LIMITED","AHK","Materials"
"ARMOUR ENERGY LIMITED","AJQ","Energy"
"AROWANA INTERNATIONAL LIMITED","AWN","Capital Goods"
"ARROW MINERALS LTD","AMD","Materials"
"ARTEMIS RESOURCES LIMITED","ARV","Materials"
"ARUMA RESOURCES LIMITED","AAJ","Materials"
"ASALEO CARE LIMITED","AHY","Household & Personal Products"
"ASAPLUS RESOURCES LIMITED","AJY","Materials"
"ASF GROUP LIMITED","AFA","Diversified Financials"
"ASHLEY SERVICES GROUP LIMITED","ASH","Commercial & Professional Services"
"ASIA PACIFIC DATA CENTRE GROUP","AJD","Real Estate"
"ASIA PACIFIC DIGITAL LIMITED","DIG","Media"
"ASIAN AMERICAN MEDICAL GROUP LIMITED","AJJ","Health Care Equipment & Services"
"ASIAN DEVELOPMENT BANK","ATB","Not Applic"
"ASIAN MASTERS FUND LIMITED","AUF","Diversified Financials"
"ASIAN MINERAL RESOURCES LIMITED","AM3","Class Pend"
"ASK FUNDING LIMITED","AKF","Diversified Financials"
"ASPEN GROUP","APZ","Real Estate"
"ASPERMONT LIMITED.","ASP","Media"
"ASPIRE MINING LIMITED","AKM","Materials"
"ASSEMBLEBAY LIMITED","ASY","Software & Services"
"ASSETOWL LIMITED","AO1","Software & Services"
"ASTIVITA LIMITED","AIR","Capital Goods"
"ASTRO RESOURCES NL","ARO","Materials"
"ASTRON CORPORATION LIMITED","ATR","Materials"
"ASX LIMITED","ASX","Diversified Financials"
"ATC ALLOYS LTD","ATA","Materials"
"ATCOR MEDICAL HOLDINGS LIMITED","ACG","Health Care Equipment & Services"
"ATHENA RESOURCES LIMITED","AHN","Materials"
"ATLAS IRON LIMITED","AGO","Materials"
"ATLAS PEARLS LTD","ATP","Consumer Durables & Apparel"
"ATRUM COAL LIMITED","ATU","Materials"
"AUB GROUP LIMITED","AUB","Insurance"
"AUCKLAND INTERNATIONAL AIRPORT LIMITED","AIA","Transportation"
"AUCTUS ALTERNATIVE INVESTMENTS LIMITED","AVC","Diversified Financials"
"AUDALIA RESOURCES LIMITED","ACP","Materials"
"AUDINATE GROUP LIMITED","AD8","Technology Hardware & Equipment"
"AUDIO PIXELS HOLDINGS LIMITED","AKP","Consumer Durables & Apparel"
"AUKING MINING LIMITED","AKN","Materials"
"AUMAKE INTERNATIONAL LIMITED","AU8","Retailing"
"AURA ENERGY LIMITED","AEE","Energy"
"AURELIA METALS LIMITED","AMI","Materials"
"AURIS MINERALS LIMITED","AUR","Materials"
"AURIZON HOLDINGS LIMITED","AZJ","Transportation"
"AUROCH MINERALS LTD","AOU","Materials"
"AURORA ABSOLUTE RETURN FUND","ABW","Not Applic"
"AURORA GLOBAL INCOME TRUST","AIB","Diversified Financials"
"AURORA LABS LIMITED","A3D","Capital Goods"
"AURORA MINERALS LIMITED","ARM","Materials"
"AURORA PROPERTY BUY-WRITE INCOME TRUST","AUP","Not Applic"
"AUS ASIA MINERALS LIMITED","AQJ","Energy"
"AUS TIN MINING LTD","ANW","Materials"
"AUSCANN GROUP HOLDINGS LTD","AC8","Pharmaceuticals, Biotechnology & Life Sciences"
"AUSDRILL LIMITED","ASL","Materials"
"AUSGOLD LIMITED","AUC","Materials"
"AUSMEX MINING GROUP LIMITED","AMG","Materials"
"AUSMON RESOURCES LIMITED","AOA","Materials"
"AUSNET SERVICES HOLDINGS PTY LTD","ANV","Not Applic"
"AUSNET SERVICES LIMITED","AST","Utilities"
"AUSQUEST LIMITED","AQD","Materials"
"AUSTAL LIMITED","ASB","Capital Goods"
"AUSTAR GOLD LIMITED","AUL","Materials"
"AUSTCHINA HOLDINGS LIMITED","AUH","Energy"
"AUSTEX OIL LIMITED","AOK","Energy"
"AUSTIN ENGINEERING LIMITED","ANG","Capital Goods"
"AUSTPAC RESOURCES NL","APG","Materials"
"AUSTRAL GOLD LIMITED","AGD","Materials"
"AUSTRALASIAN RESOURCES LIMITED","ARH","Materials"
"AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED","ANZ","Banks"
"AUSTRALIA UNITED MINING LIMITED","AYM","Materials"
"AUSTRALIAN AGRICULTURAL COMPANY LIMITED.","AAC","Food, Beverage & Tobacco"
"AUSTRALIAN AGRICULTURAL PROJECTS LIMITED","AAP","Food, Beverage & Tobacco"
"AUSTRALIAN BAUXITE LIMITED.","ABX","Materials"
"AUSTRALIAN CAREERS NETWORK LIMITED","ACO","Consumer Services"
"AUSTRALIAN COMMONWEALTH GOVERNMENT LOANS","XCL","Not Applic"
"AUSTRALIAN DAIRY FARMS GROUP","AHF","Food, Beverage & Tobacco"
"AUSTRALIAN ENHANCED INCOME FUND","AYF","Not Applic"
"AUSTRALIAN ETHICAL INVESTMENT LIMITED","AEF","Diversified Financials"
"AUSTRALIAN FINANCE GROUP LTD","AFG","Banks"
"AUSTRALIAN FOUNDATION INVESTMENT COMPANY LIMITED","AFI","Not Applic"
"AUSTRALIAN GOVERNANCE MASTERS INDEX FUND LIMITED","AQF","Diversified Financials"
"AUSTRALIAN LEADERS FUND LIMITED","ALF","Diversified Financials"
"AUSTRALIAN MASTERS YIELD FUND NO 4 LIMITED","AYK","Not Applic"
"AUSTRALIAN MASTERS YIELD FUND NO 5 LIMITED","AYZ","Not Applic"
"AUSTRALIAN MINES LIMITED","AUZ","Materials"
"AUSTRALIAN PACIFIC COAL LIMITED","AQC","Materials"
"AUSTRALIAN PHARMACEUTICAL INDUSTRIES LIMITED","API","Health Care Equipment & Services"
"AUSTRALIAN POTASH LIMITED","APC","Materials"
"AUSTRALIAN RURAL CAPITAL LIMITED","ARC","Diversified Financials"
"AUSTRALIAN UNITED INVESTMENT COMPANY LIMITED","AUI","Diversified Financials"
"AUSTRALIAN UNITY LIMITED","AYU","Not Applic"
"AUSTRALIAN UNITY OFFICE FUND","AOF","Real Estate"
"AUSTRALIAN VANADIUM LIMITED","AVL","Materials"
"AUSTRALIAN VINTAGE LTD","AVG","Food, Beverage & Tobacco"
"AUSTRALIAN WHISKY HOLDINGS LIMITED","AWY","Food, Beverage & Tobacco"
"AUSTRALIS OIL & GAS LIMITED","ATS","Energy"
"AUSTSINO RESOURCES GROUP LIMITED","ANS","Materials"
"AUSWIDE BANK LTD","ABA","Banks"
"AUTHORISED INVESTMENT FUND LIMITED","AIY","Not Applic"
"AUTOMOTIVE HOLDINGS GROUP LIMITED.","AHG","Retailing"
"AUTOSPORTS GROUP LIMITED.","ASG","Retailing"
"AVA RISK GROUP LIMITED","AVA","Technology Hardware & Equipment"
"AVANCO RESOURCES LIMITED","AVB","Materials"
"AVENIRA LIMITED","AEV","Materials"
"AVENTUS RETAIL PROPERTY FUND","AVN","Real Estate"
"AVEO GROUP","AOG","Real Estate"
"AVIRA RESOURCES LTD","AVW","Materials"
"AVITA MEDICAL LTD","AVH","Pharmaceuticals, Biotechnology & Life Sciences"
"AVJENNINGS LIMITED","AVJ","Real Estate"
"AVZ MINERALS LIMITED","AVZ","Materials"
"AWATI RESOURCES LIMITED","AWA","Class Pend"
"AXIOM MINING LIMITED","AVQ","Materials"
"AXIOM PROPERTIES LIMITED","AXI","Real Estate"
"AXSESSTODAY LIMITED","AXL","Diversified Financials"
"AXXIS TECHNOLOGY GROUP LTD","AYG","Software & Services"
"AZUMAH RESOURCES LIMITED","AZM","Materials"
"AZURE HEALTHCARE LIMITED","AZV","Health Care Equipment & Services"
"AZURE MINERALS LIMITED","AZS","Materials"
"BABY BUNTING GROUP LIMITED","BBN","Retailing"
"BABYLON PUMP & POWER LIMITED","BPP","Capital Goods"
"BAILADOR TECHNOLOGY INVESTMENTS LIMITED","BTI","Diversified Financials"
"BANK OF QUEENSLAND LIMITED.","BOQ","Banks"
"BANNERMAN RESOURCES LIMITED","BMN","Energy"
"BAPCOR LIMITED","BAP","Retailing"
"BARAKA ENERGY & RESOURCES LIMITED","BKP","Energy"
"BARD1 LIFE SCIENCES LIMITED","BD1","Class Pend"
"BARRA RESOURCES LIMITED","BAR","Materials"
"BARRACK ST INVESTMENTS LIMITED","BST","Not Applic"
"BASE RESOURCES LIMITED","BSE","Materials"
"BASS METALS LTD","BSM","Materials"
"BASS OIL LIMITED","BAS","Energy"
"BASSARI RESOURCES LIMITED","BSR","Materials"
"BATHURST RESOURCES LIMITED.","BRL","Materials"
"BATTERY MINERALS LIMITED","BAT","Materials"
"BAUMART HOLDINGS LIMITED","BMH","Capital Goods"
"BAUXITE RESOURCES LIMITED","BAU","Materials"
"BBX MINERALS LIMITED","BBX","Materials"
"BCI MINERALS LIMITED","BCI","Materials"
"BEACH ENERGY LIMITED","BPT","Energy"
"BEACON LIGHTING GROUP LIMITED","BLX","Retailing"
"BEACON MINERALS LIMITED","BCN","Materials"
"BEADELL RESOURCES LIMITED","BDR","Materials"
"BEGA CHEESE LIMITED","BGA","Food, Beverage & Tobacco"
"BELL FINANCIAL GROUP LIMITED","BFG","Diversified Financials"
"BELLAMY'S AUSTRALIA LIMITED","BAL","Food, Beverage & Tobacco"
"BENDIGO AND ADELAIDE BANK LIMITED","BEN","Banks"
"BENITEC BIOPHARMA LIMITED","BLT","Pharmaceuticals, Biotechnology & Life Sciences"
"BENJAMIN HORNIGOLD LIMITED","BHD","Not Applic"
"BENTLEY CAPITAL LIMITED","BEL","Diversified Financials"
"BERKELEY ENERGIA LIMITED","BKY","Energy"
"BERKUT MINERALS LIMITED","BMT","Materials"
"BESTON GLOBAL FOOD COMPANY LIMITED","BFC","Food, Beverage & Tobacco"
"BEYOND INTERNATIONAL LIMITED","BYI","Media"
"BHP BILLITON LIMITED","BHP","Materials"
"BIDENERGY LIMITED","BID","Software & Services"
"BIG RIVER INDUSTRIES LIMITED","BRI","Materials"
"BIG UN LIMITED","BIG","Software & Services"
"BIGTINCAN HOLDINGS LIMITED","BTH","Software & Services"
"BINGO INDUSTRIES LIMITED","BIN","Commercial & Professional Services"
"BIO-GENE TECHNOLOGY LTD","BGT","Materials"
"BIOMICS BIOPHARMA LIMITED","BBM","Class Pend"
"BIONOMICS LIMITED","BNO","Pharmaceuticals, Biotechnology & Life Sciences"
"BIOTRON LIMITED","BIT","Pharmaceuticals, Biotechnology & Life Sciences"
"BIOXYNE LIMITED","BXN","Pharmaceuticals, Biotechnology & Life Sciences"
"BIRIMIAN LIMITED","BGS","Materials"
"BIRRABONG CORPORATION LIMITED","BIR","Not Applic"
"BISALLOY STEEL GROUP LIMITED","BIS","Materials"
"BISAN LIMITED","BSN","Diversified Financials"
"BKI INVESTMENT COMPANY LIMITED","BKI","Diversified Financials"
"BKM MANAGEMENT LIMITED","BKM","Commercial & Professional Services"
"BLACK CAT SYNDICATE LIMITED","BC8","Materials"
"BLACK MOUNTAIN RESOURCES LIMITED","BMZ","Materials"
"BLACK ROCK MINING LIMITED","BKT","Materials"
"BLACK STAR PETROLEUM LIMITED","BSP","Energy"
"BLACKEARTH MINERALS NL","BEM","Materials"
"BLACKHAM RESOURCES LIMITED","BLK","Materials"
"BLACKMORES LIMITED","BKL","Household & Personal Products"
"BLACKSTONE MINERALS LIMITED","BSX","Materials"
"BLACKWALL LIMITED","BWF","Diversified Financials"
"BLACKWALL PROPERTY TRUST","BWR","Real Estate"
"BLAZE INTERNATIONAL LIMITED","BLZ","Energy"
"BLIGH RESOURCES LIMITED","BGH","Materials"
"BLINA MINERALS NL","BDI","Materials"
"BLUE ENERGY LIMITED","BUL","Energy"
"BLUE SKY ALTERNATIVE INVESTMENTS LIMITED","BLA","Diversified Financials"
"BLUE SKY ALTERNATIVES ACCESS FUND LIMITED","BAF","Not Applic"
"BLUECHIIP LIMITED","BCT","Technology Hardware & Equipment"
"BLUESCOPE STEEL LIMITED","BSL","Materials"
"BLUGLASS LIMITED","BLG","Semiconductors & Semiconductor Equipment"
"BMG RESOURCES LIMITED","BMG","Materials"
"BOADICEA RESOURCES LIMITED","BOA","Materials"
"BOART LONGYEAR LIMITED","BLY","Capital Goods"
"BOD AUSTRALIA LIMITED","BDA","Retailing"
"BOJUN AGRICULTURE HOLDINGS LIMITED","BAH","Food, Beverage & Tobacco"
"BOOM LOGISTICS LIMITED","BOL","Capital Goods"
"BORA BORA RESOURCES LIMITED","BBR","Materials"
"BORAL LIMITED.","BLD","Materials"
"BOSS RESOURCES LIMITED","BOE","Materials"
"BOTANIX PHARMACEUTICALS LTD","BOT","Pharmaceuticals, Biotechnology & Life Sciences"
"BOUGAINVILLE COPPER LIMITED","BOC","Materials"
"BOUNTY MINING LIMITED","B2Y","Class Pend"
"BOUNTY OIL & GAS NL","BUY","Energy"
"BOWEN COKING COAL LIMITED","BCB","Materials"
"BOYUAN HOLDINGS LIMITED","BHL","Real Estate"
"BP CAPITAL MARKETS PLC","BPB","Not Applic"
"BPH ENERGY LTD","BPH","Pharmaceuticals, Biotechnology & Life Sciences"
"BRAIN RESOURCE LIMITED","BRC","Health Care Equipment & Services"
"BRAINCHIP HOLDINGS LTD","BRN","Software & Services"
"BRAMBLES LIMITED","BXB","Commercial & Professional Services"
"BRAVURA SOLUTIONS LIMITED.","BVS","Software & Services"
"BREAKER RESOURCES NL","BRB","Materials"
"BREVILLE GROUP LIMITED","BRG","Retailing"
"BRICKWORKS LIMITED","BKW","Materials"
"BRISBANE BRONCOS LIMITED","BBL","Media"
"BRISCOE GROUP AUSTRALASIA LIMITED","BGP","Not Applic"
"BROAD INVESTMENTS LIMITED","BRO","Telecommunication Services"
"BROCKMAN MINING LIMITED","BCK","Materials"
"BROKEN HILL PROSPECTING LIMITED","BPL","Materials"
"BRONSON GROUP LIMITED","BGR","Diversified Financials"
"BROO LTD","BEE","Food, Beverage & Tobacco"
"BROOKSIDE ENERGY LIMITED","BRK","Energy"
"BRYAH RESOURCES LIMITED","BYH","Materials"
"BSA LIMITED","BSA","Commercial & Professional Services"
"BTC HEALTH LTD","BTC","Diversified Financials"
"BUBS AUSTRALIA LIMITED","BUB","Food, Beverage & Tobacco"
"BUDDY PLATFORM LTD","BUD","Software & Services"
"BUDERIM GROUP LIMITED","BUG","Food, Beverage & Tobacco"
"BUILDINGIQ, INC","BIQ","Software & Services"
"BULLETIN RESOURCES LIMITED","BNR","Materials"
"BULLETPROOF GROUP LIMITED","BPF","Software & Services"
"BURU ENERGY LIMITED","BRU","Energy"
"BUXTON RESOURCES LIMITED","BUX","Materials"
"BUYMYPLACE.COM.AU LIMITED","BMP","Real Estate"
"BWP TRUST","BWP","Real Estate"
"BWX LIMITED","BWX","Household & Personal Products"
"BYRON ENERGY LIMITED","BYE","Energy"
"BYTE POWER GROUP LIMITED","BPG","Retailing"
"CABCHARGE AUSTRALIA LIMITED","CAB","Commercial & Professional Services"
"CADENCE CAPITAL LIMITED","CDM","Not Applic"
"CAENEUS MINERALS LTD","CAD","Materials"
"CAISSE FRANCAISE DE FINANCEMENT LOCAL","DXA","Not Applic"
"CALIDUS RESOURCES LIMITED","CAI","Materials"
"CALIMA ENERGY LIMITED","CE1","Energy"
"CALTEX AUSTRALIA LIMITED","CTX","Energy"
"CANN GROUP LIMITED","CAN","Pharmaceuticals, Biotechnology & Life Sciences"
"CANNINDAH RESOURCES LIMITED","CAE","Materials"
"CANNPAL ANIMAL THERAPEUTICS LIMITED","CP1","Pharmaceuticals, Biotechnology & Life Sciences"
"CANYON RESOURCES LIMITED","CAY","Materials"
"CAPE LAMBERT RESOURCES LIMITED","CFE","Materials"
"CAPE RANGE LTD","CAG","Software & Services"
"CAPILANO HONEY LIMITED","CZZ","Food, Beverage & Tobacco"
"CAPITAL MINING LIMITED","CMY","Materials"
"CAPITOL HEALTH LIMITED","CAJ","Health Care Equipment & Services"
"CAPRAL LIMITED","CAA","Materials"
"CAPRICORN METALS LTD","CMM","Materials"
"CAQ HOLDINGS LIMITED","CAQ","Real Estate"
"CARAVEL MINERALS LIMITED","CVV","Materials"
"CARAWINE RESOURCES LIMITED","CWX","Materials"
"CARBINE RESOURCES LIMITED","CRB","Materials"
"CARBON ENERGY LIMITED","CNX","Energy"
"CARBON MINERALS LIMITED","CRM","Energy"
"CARBONXT GROUP LIMITED","CG1","Materials"
"CARDINAL RESOURCES LIMITED","CDV","Materials"
"CARDNO LIMITED","CDD","Capital Goods"
"CARINDALE PROPERTY TRUST","CDP","Real Estate"
"CARLTON INVESTMENTS LIMITED","CIN","Diversified Financials"
"CARNARVON PETROLEUM LIMITED","CVN","Energy"
"CARNAVALE RESOURCES LIMITED","CAV","Materials"
"CARNEGIE CLEAN ENERGY LIMITED","CCE","Utilities"
"CARPENTARIA RESOURCES LTD","CAP","Materials"
"CARSALES.COM LIMITED.","CAR","Software & Services"
"CASH CONVERTERS INTERNATIONAL","CCV","Retailing"
"CASSINI RESOURCES LIMITED","CZI","Materials"
"CASSIUS MINING LIMITED","CMD","Materials"
"CASTILLO COPPER LIMITED","CCZ","Materials"
"CASTLE MINERALS LIMITED","CDT","Materials"
"CATALYST METALS LIMITED","CYL","Materials"
"CATAPULT GROUP INTERNATIONAL LTD","CAT","Technology Hardware & Equipment"
"CAULDRON ENERGY LIMITED","CXU","Energy"
"CAZALY RESOURCES LIMITED","CAZ","Materials"
"CBG CAPITAL LIMITED","CBC","Not Applic"
"CBL CORPORATION LIMITED","CBL","Insurance"
"CCP TECHNOLOGIES LIMITED","CT1","Technology Hardware & Equipment"
"CEDAR WOODS PROPERTIES LIMITED","CWP","Real Estate"
"CELAMIN HOLDINGS NL","CNL","Materials"
"CELLMID LIMITED","CDY","Pharmaceuticals, Biotechnology & Life Sciences"
"CELLNET GROUP LIMITED","CLT","Technology Hardware & Equipment"
"CELSIUS RESOURCES LIMITED.","CLA","Materials"
"CENTAURUS METALS LIMITED","CTM","Materials"
"CENTENNIAL MINING LIMITED","CTL","Materials"
"CENTRAL PETROLEUM LIMITED","CTP","Energy"
"CENTREPOINT ALLIANCE LIMITED","CAF","Diversified Financials"
